vox;algo;r1;ph;wf;ntf;snr;param;evalue;tvalue
3;LQ;1.5;45;0;0;5;t1est;1.627564;1.500000
3;LQ;1.5;45;0;0;5;m0est;1.055405;1.000000
3;LQ;1.5;45;0;0;5;bbya;2.076469;2.000000
4;LQ;1.5;45;0;0;5;t1est;1.335490;1.500000
4;LQ;1.5;45;0;0;5;m0est;0.986932;1.000000
4;LQ;1.5;45;0;0;5;bbya;2.080288;2.000000
5;LQ;1.5;45;0;0;5;t1est;1.352854;1.500000
5;LQ;1.5;45;0;0;5;m0est;0.973056;1.000000
5;LQ;1.5;45;0;0;5;bbya;2.268453;2.000000
6;LQ;1.5;45;0;0;5;t1est;1.514639;1.500000
6;LQ;1.5;45;0;0;5;m0est;0.928149;1.000000
6;LQ;1.5;45;0;0;5;bbya;2.335172;2.000000
7;LQ;1.5;45;0;0;5;t1est;1.627767;1.500000
7;LQ;1.5;45;0;0;5;m0est;0.980158;1.000000
7;LQ;1.5;45;0;0;5;bbya;2.141473;2.000000
8;LQ;1.5;45;0;0;5;t1est;1.596450;1.500000
8;LQ;1.5;45;0;0;5;m0est;1.063424;1.000000
8;LQ;1.5;45;0;0;5;bbya;2.046810;2.000000
9;LQ;1.5;45;0;0;5;t1est;1.445529;1.500000
9;LQ;1.5;45;0;0;5;m0est;1.001797;1.000000
9;LQ;1.5;45;0;0;5;bbya;2.087503;2.000000
10;LQ;1.5;45;0;0;5;t1est;1.486089;1.500000
10;LQ;1.5;45;0;0;5;m0est;1.022776;1.000000
10;LQ;1.5;45;0;0;5;bbya;2.063010;2.000000
1;LQ;2;45;0;0;5;t1est;2.042117;2.000000
1;LQ;2;45;0;0;5;m0est;0.988473;1.000000
1;LQ;2;45;0;0;5;bbya;2.105794;2.000000
2;LQ;2;45;0;0;5;t1est;2.019538;2.000000
2;LQ;2;45;0;0;5;m0est;1.004443;1.000000
2;LQ;2;45;0;0;5;bbya;2.129451;2.000000
3;LQ;2;45;0;0;5;t1est;1.985338;2.000000
3;LQ;2;45;0;0;5;m0est;0.964504;1.000000
3;LQ;2;45;0;0;5;bbya;2.110605;2.000000
4;LQ;2;45;0;0;5;t1est;1.883742;2.000000
4;LQ;2;45;0;0;5;m0est;0.919603;1.000000
4;LQ;2;45;0;0;5;bbya;2.160568;2.000000
5;LQ;2;45;0;0;5;t1est;2.062562;2.000000
5;LQ;2;45;0;0;5;m0est;1.029896;1.000000
5;LQ;2;45;0;0;5;bbya;2.105063;2.000000
6;LQ;2;45;0;0;5;t1est;1.986225;2.000000
6;LQ;2;45;0;0;5;m0est;0.985161;1.000000
6;LQ;2;45;0;0;5;bbya;2.188297;2.000000
7;LQ;2;45;0;0;5;t1est;1.923666;2.000000
7;LQ;2;45;0;0;5;m0est;0.977878;1.000000
7;LQ;2;45;0;0;5;bbya;2.062955;2.000000
8;LQ;2;45;0;0;5;t1est;2.058079;2.000000
8;LQ;2;45;0;0;5;m0est;1.008310;1.000000
8;LQ;2;45;0;0;5;bbya;2.215940;2.000000
9;LQ;2;45;0;0;5;t1est;2.201690;2.000000
9;LQ;2;45;0;0;5;m0est;1.071679;1.000000
9;LQ;2;45;0;0;5;bbya;2.023371;2.000000
1;LQ;2.5;45;0;0;5;t1est;2.462817;2.500000
1;LQ;2.5;45;0;0;5;m0est;1.123574;1.000000
1;LQ;2.5;45;0;0;5;bbya;1.915056;2.000000
2;LQ;2.5;45;0;0;5;t1est;2.459162;2.500000
2;LQ;2.5;45;0;0;5;m0est;0.964174;1.000000
2;LQ;2.5;45;0;0;5;bbya;2.269757;2.000000
3;LQ;2.5;45;0;0;5;t1est;2.396581;2.500000
3;LQ;2.5;45;0;0;5;m0est;0.987976;1.000000
3;LQ;2.5;45;0;0;5;bbya;2.088327;2.000000
4;LQ;2.5;45;0;0;5;t1est;2.404849;2.500000
4;LQ;2.5;45;0;0;5;m0est;1.044527;1.000000
4;LQ;2.5;45;0;0;5;bbya;1.936140;2.000000
5;LQ;2.5;45;0;0;5;t1est;2.343714;2.500000
5;LQ;2.5;45;0;0;5;m0est;0.954112;1.000000
5;LQ;2.5;45;0;0;5;bbya;2.114931;2.000000
6;LQ;2.5;45;0;0;5;t1est;2.425581;2.500000
6;LQ;2.5;45;0;0;5;m0est;0.975225;1.000000
6;LQ;2.5;45;0;0;5;bbya;2.229246;2.000000
7;LQ;2.5;45;0;0;5;t1est;2.578297;2.500000
7;LQ;2.5;45;0;0;5;m0est;1.080207;1.000000
7;LQ;2.5;45;0;0;5;bbya;1.926500;2.000000
8;LQ;2.5;45;0;0;5;t1est;2.434884;2.500000
8;LQ;2.5;45;0;0;5;m0est;0.942279;1.000000
8;LQ;2.5;45;0;0;5;bbya;2.163742;2.000000
9;LQ;2.5;45;0;0;5;t1est;2.359951;2.500000
9;LQ;2.5;45;0;0;5;m0est;0.996403;1.000000
9;LQ;2.5;45;0;0;5;bbya;1.995674;2.000000
1;LQ;0.5;90;0;0;5;t1est;0.457110;0.500000
1;LQ;0.5;90;0;0;5;m0est;1.038455;1.000000
1;LQ;0.5;90;0;0;5;bbya;1.901262;2.000000
2;LQ;0.5;90;0;0;5;t1est;0.505176;0.500000
2;LQ;0.5;90;0;0;5;m0est;1.068829;1.000000
2;LQ;0.5;90;0;0;5;bbya;1.995729;2.000000
3;LQ;0.5;90;0;0;5;t1est;0.444359;0.500000
3;LQ;0.5;90;0;0;5;m0est;1.014177;1.000000
3;LQ;0.5;90;0;0;5;bbya;1.862871;2.000000
4;LQ;0.5;90;0;0;5;t1est;0.520002;0.500000
4;LQ;0.5;90;0;0;5;m0est;1.024701;1.000000
4;LQ;0.5;90;0;0;5;bbya;2.060602;2.000000
5;LQ;0.5;90;0;0;5;t1est;0.541336;0.500000
5;LQ;0.5;90;0;0;5;m0est;0.990129;1.000000
5;LQ;0.5;90;0;0;5;bbya;2.138299;2.000000
6;LQ;0.5;90;0;0;5;t1est;0.554413;0.500000
6;LQ;0.5;90;0;0;5;m0est;0.994638;1.000000
6;LQ;0.5;90;0;0;5;bbya;2.177098;2.000000
7;LQ;0.5;90;0;0;5;t1est;0.449317;0.500000
7;LQ;0.5;90;0;0;5;m0est;1.071668;1.000000
7;LQ;0.5;90;0;0;5;bbya;1.920751;2.000000
8;LQ;0.5;90;0;0;5;t1est;0.569359;0.500000
8;LQ;0.5;90;0;0;5;m0est;0.995281;1.000000
8;LQ;0.5;90;0;0;5;bbya;2.242907;2.000000
9;LQ;0.5;90;0;0;5;t1est;0.510380;0.500000
9;LQ;0.5;90;0;0;5;m0est;1.004443;1.000000
9;LQ;0.5;90;0;0;5;bbya;2.212039;2.000000
10;LQ;0.5;90;0;0;5;t1est;0.492423;0.500000
10;LQ;0.5;90;0;0;5;m0est;1.017228;1.000000
10;LQ;0.5;90;0;0;5;bbya;1.931173;2.000000
1;LQ;1;90;0;0;5;t1est;1.011345;1.000000
1;LQ;1;90;0;0;5;m0est;1.013564;1.000000
1;LQ;1;90;0;0;5;bbya;2.107499;2.000000
2;LQ;1;90;0;0;5;t1est;1.051263;1.000000
2;LQ;1;90;0;0;5;m0est;1.017414;1.000000
2;LQ;1;90;0;0;5;bbya;2.082392;2.000000
3;LQ;1;90;0;0;5;t1est;0.981322;1.000000
3;LQ;1;90;0;0;5;m0est;1.036875;1.000000
3;LQ;1;90;0;0;5;bbya;1.935640;2.000000
4;LQ;1;90;0;0;5;t1est;0.986898;1.000000
4;LQ;1;90;0;0;5;m0est;1.044413;1.000000
4;LQ;1;90;0;0;5;bbya;1.944573;2.000000
