vox;algo;r2;foffset;ph;wf;ntf;snr;param;evalue;tvalue
1;LG;0.08;0;45;0;0;30;m0est;1.020583;1.000000
2;LG;0.08;0;45;0;0;30;t2sest;0.084176;0.080000
2;LG;0.08;0;45;0;0;30;m0est;0.964455;1.000000
3;LG;0.08;0;45;0;0;30;t2sest;0.081208;0.080000
3;LG;0.08;0;45;0;0;30;m0est;1.004792;1.000000
4;LG;0.08;0;45;0;0;30;t2sest;0.086767;0.080000
4;LG;0.08;0;45;0;0;30;m0est;0.955424;1.000000
5;LG;0.08;0;45;0;0;30;t2sest;0.078119;0.080000
5;LG;0.08;0;45;0;0;30;m0est;1.020859;1.000000
6;LG;0.08;0;45;0;0;30;t2sest;0.085438;0.080000
6;LG;0.08;0;45;0;0;30;m0est;0.942913;1.000000
7;LG;0.08;0;45;0;0;30;t2sest;0.080669;0.080000
7;LG;0.08;0;45;0;0;30;m0est;1.017461;1.000000
8;LG;0.08;0;45;0;0;30;t2sest;0.089418;0.080000
8;LG;0.08;0;45;0;0;30;m0est;0.934630;1.000000
9;LG;0.08;0;45;0;0;30;t2sest;0.076549;0.080000
9;LG;0.08;0;45;0;0;30;m0est;1.016240;1.000000
10;LG;0.08;0;45;0;0;30;t2sest;0.080635;0.080000
10;LG;0.08;0;45;0;0;30;m0est;0.981554;1.000000
1;LG;0.02;0;90;0;0;30;t2sest;0.061785;0.020000
1;LG;0.02;0;90;0;0;30;m0est;0.280768;1.000000
2;LG;0.02;0;90;0;0;30;t2sest;0.073017;0.020000
2;LG;0.02;0;90;0;0;30;m0est;0.203428;1.000000
3;LG;0.02;0;90;0;0;30;t2sest;0.074669;0.020000
3;LG;0.02;0;90;0;0;30;m0est;0.224209;1.000000
4;LG;0.02;0;90;0;0;30;t2sest;0.045316;0.020000
4;LG;0.02;0;90;0;0;30;m0est;0.324069;1.000000
5;LG;0.02;0;90;0;0;30;t2sest;0.054802;0.020000
5;LG;0.02;0;90;0;0;30;m0est;0.274802;1.000000
6;LG;0.02;0;90;0;0;30;t2sest;0.054735;0.020000
6;LG;0.02;0;90;0;0;30;m0est;0.313844;1.000000
7;LG;0.02;0;90;0;0;30;t2sest;0.043977;0.020000
7;LG;0.02;0;90;0;0;30;m0est;0.415097;1.000000
8;LG;0.02;0;90;0;0;30;t2sest;0.049727;0.020000
8;LG;0.02;0;90;0;0;30;m0est;0.341617;1.000000
9;LG;0.02;0;90;0;0;30;t2sest;0.048276;0.020000
9;LG;0.02;0;90;0;0;30;m0est;0.316002;1.000000
10;LG;0.02;0;90;0;0;30;t2sest;0.045935;0.020000
10;LG;0.02;0;90;0;0;30;m0est;0.353500;1.000000
1;LG;0.04;0;90;0;0;30;t2sest;0.040297;0.040000
1;LG;0.04;0;90;0;0;30;m0est;0.982926;1.000000
2;LG;0.04;0;90;0;0;30;t2sest;0.040240;0.040000
2;LG;0.04;0;90;0;0;30;m0est;0.912764;1.000000
3;LG;0.04;0;90;0;0;30;t2sest;0.039101;0.040000
3;LG;0.04;0;90;0;0;30;m0est;1.024961;1.000000
4;LG;0.04;0;90;0;0;30;t2sest;0.039836;0.040000
4;LG;0.04;0;90;0;0;30;m0est;1.010353;1.000000
5;LG;0.04;0;90;0;0;30;t2sest;0.039841;0.040000
5;LG;0.04;0;90;0;0;30;m0est;0.960514;1.000000
6;LG;0.04;0;90;0;0;30;t2sest;0.049912;0.040000
6;LG;0.04;0;90;0;0;30;m0est;0.819369;1.000000
7;LG;0.04;0;90;0;0;30;t2sest;0.048609;0.040000
7;LG;0.04;0;90;0;0;30;m0est;0.806981;1.000000
8;LG;0.04;0;90;0;0;30;t2sest;0.054150;0.040000
8;LG;0.04;0;90;0;0;30;m0est;0.693389;1.000000
9;LG;0.04;0;90;0;0;30;t2sest;0.032816;0.040000
9;LG;0.04;0;90;0;0;30;m0est;1.175746;1.000000
10;LG;0.04;0;90;0;0;30;t2sest;0.039877;0.040000
10;LG;0.04;0;90;0;0;30;m0est;0.889081;1.000000
1;LG;0.06;0;90;0;0;30;t2sest;0.064579;0.060000
1;LG;0.06;0;90;0;0;30;m0est;0.973306;1.000000
2;LG;0.06;0;90;0;0;30;t2sest;0.064482;0.060000
2;LG;0.06;0;90;0;0;30;m0est;0.943645;1.000000
3;LG;0.06;0;90;0;0;30;t2sest;0.062251;0.060000
3;LG;0.06;0;90;0;0;30;m0est;0.931773;1.000000
4;LG;0.06;0;90;0;0;30;t2sest;0.067744;0.060000
4;LG;0.06;0;90;0;0;30;m0est;0.903248;1.000000
5;LG;0.06;0;90;0;0;30;t2sest;0.055837;0.060000
5;LG;0.06;0;90;0;0;30;m0est;1.105001;1.000000
6;LG;0.06;0;90;0;0;30;t2sest;0.059461;0.060000
6;LG;0.06;0;90;0;0;30;m0est;1.030174;1.000000
7;LG;0.06;0;90;0;0;30;t2sest;0.058429;0.060000
7;LG;0.06;0;90;0;0;30;m0est;1.051782;1.000000
8;LG;0.06;0;90;0;0;30;t2sest;0.059007;0.060000
8;LG;0.06;0;90;0;0;30;m0est;0.993032;1.000000
9;LG;0.06;0;90;0;0;30;t2sest;0.065268;0.060000
9;LG;0.06;0;90;0;0;30;m0est;0.946258;1.000000
10;LG;0.06;0;90;0;0;30;t2sest;0.061863;0.060000
10;LG;0.06;0;90;0;0;30;m0est;1.007222;1.000000
1;LG;0.08;0;90;0;0;30;t2sest;0.083283;0.080000
1;LG;0.08;0;90;0;0;30;m0est;0.976211;1.000000
2;LG;0.08;0;90;0;0;30;t2sest;0.081452;0.080000
2;LG;0.08;0;90;0;0;30;m0est;0.973109;1.000000
3;LG;0.08;0;90;0;0;30;t2sest;0.069404;0.080000
3;LG;0.08;0;90;0;0;30;m0est;1.066258;1.000000
4;LG;0.08;0;90;0;0;30;t2sest;0.082283;0.080000
4;LG;0.08;0;90;0;0;30;m0est;0.943677;1.000000
5;LG;0.08;0;90;0;0;30;t2sest;0.076018;0.080000
5;LG;0.08;0;90;0;0;30;m0est;1.011885;1.000000
6;LG;0.08;0;90;0;0;30;t2sest;0.081251;0.080000
6;LG;0.08;0;90;0;0;30;m0est;0.947685;1.000000
7;LG;0.08;0;90;0;0;30;t2sest;0.089670;0.080000
7;LG;0.08;0;90;0;0;30;m0est;0.912392;1.000000
8;LG;0.08;0;90;0;0;30;t2sest;0.076826;0.080000
8;LG;0.08;0;90;0;0;30;m0est;1.043070;1.000000
9;LG;0.08;0;90;0;0;30;t2sest;0.085427;0.080000
9;LG;0.08;0;90;0;0;30;m0est;0.917369;1.000000
10;LG;0.08;0;90;0;0;30;t2sest;0.076646;0.080000
10;LG;0.08;0;90;0;0;30;m0est;1.025280;1.000000
1;LG;0.02;0;135;0;0;30;t2sest;0.060229;0.020000
1;LG;0.02;0;135;0;0;30;m0est;0.288792;1.000000
2;LG;0.02;0;135;0;0;30;t2sest;0.056488;0.020000
2;LG;0.02;0;135;0;0;30;m0est;0.312257;1.000000
3;LG;0.02;0;135;0;0;30;t2sest;0.056727;0.020000
3;LG;0.02;0;135;0;0;30;m0est;0.349414;1.000000
4;LG;0.02;0;135;0;0;30;t2sest;0.053451;0.020000
4;LG;0.02;0;135;0;0;30;m0est;0.269832;1.000000
5;LG;0.02;0;135;0;0;30;t2sest;0.048918;0.020000
5;LG;0.02;0;135;0;0;30;m0est;0.301991;1.000000
6;LG;0.02;0;135;0;0;30;t2sest;0.057207;0.020000
6;LG;0.02;0;135;0;0;30;m0est;0.318161;1.000000
7;LG;0.02;0;135;0;0;30;t2sest;0.060808;0.020000
7;LG;0.02;0;135;0;0;30;m0est;0.238766;1.000000
8;LG;0.02;0;135;0;0;30;t2sest;0.048459;0.020000
8;LG;0.02;0;135;0;0;30;m0est;0.322542;1.000000
9;LG;0.02;0;135;0;0;30;t2sest;0.061406;0.020000
